Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
26|Scharf marinierte Hähnchenbrustfilets|Geflügel|scharf_marinierte_haehnchenbrustfilets.html|3|35|4|direkt|3|Kokosmilch|CRT 7328||Hähnchenbrust|Hähnchenbrüste|600||4|
|||||||||Kokos|||Limetten|Limetten|1|||
|||||||||Hühnchen|||rote Chilischoten|Rote Chilischoten|1|||
|||||||||Hähnchen|||Ingwerwurzel|Ingwerwurzel|3|||
|||||||||Zitronengras|||Schalotten|Schalotten|2|||
||||||||||||Knoblauchzehen|Knoblauchzehen|1|||
||||||||||||Kokosmilch|Kokosmilch|160|||
||||||||||||Honig|Honig (flüssig)|1|||
||||||||||||gemahlenes Zitronengraspulver|Zitronengraspulver|1|||
