Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
4|Bratapfel - süß|Süßer Genuss|bratapfel_suess.html|2|30|10|direkt|1|Apfel|DSC 4119  2||große, säuerliche Äpfel|Äpfel (säuerlich)|6||6|
|||||||||Dessert|||Butter|Butter|50|||
|||||||||süß|||Marzipan-Rohmasse|Marzipan-Rohmasse|200|||
||||||||||||Rosinen|Rosinen|50|||
||||||||||||Haselnüsse|Haselnüsse|100|||
||||||||||||Eier|Eier|1|||
||||||||||||Zitronenabrieb|Zitronenabrieb||||
