Zutatenname|Mengeneinheit|Kategorie|||||||
Rosmarin (gemahlen)|TL|Kräuter & Gewürze||ganzer lammrücken|||||
Rosmarinzweige||Kräuter & Gewürze||war|Rosmarin (Zweige)||2||
Rote Beete|g|Obst & Gemüse|||||||
Rote Chilischoten||Obst & Gemüse|||||||
Rote Paprika||Obst & Gemüse|||||||
Rote Zwiebeln||Obst & Gemüse|||||||
Rotwein|ml|Getränke|||||||
Rotweinessig|ml|Öl & Essig|||||||
Rucola|g|Obst & Gemüse|||||||
Sahne-Meerrettich|EL|Sonstiges|||||||
Salatöl|ml|Öl & Essig|||||||
Salbei (Bund)||Kräuter & Gewürze|||||||
Salbeiblätter||Kräuter & Gewürze|||||||
Salz|TL|Kräuter & Gewürze|||||||
Salz (Prise)||Kräuter & Gewürze|||||||
Sardinen||Fisch|||||||
Schalotten||Obst & Gemüse|||||||
Schaschlikspieße||Haushaltswaren|||||||
Schlagsahne|EL|Molkereiprodukte|||||||
Schnittlauch (Bund)||Kräuter & Gewürze|||||||
Schraubgläser||Haushaltswaren|||||||
Schwarzer Pfeffer|TL|Sonstiges|||||||
Schweinekoteletts||Fleisch|||||||
Senf|EL|Sonstiges|||||||
Sesam|EL|Sonstiges|||||||
Sesamöl|EL|Öl & Essig|||||||
Sesamsamen|EL|Sonstiges|||||||
Sojamehl|g|Sonstiges|||||||
Sojasoße|ml|Sonstiges|||||||
Spargel|g|Obst & Gemüse|||||||
Speckstreifen||Fleisch|||||||
Spieße||Haushaltswaren|||||||
Spitzpaprika||Obst & Gemüse|||||||
Süßkartoffeln|g|Obst & Gemüse|||||||
Sweet Chili Sauce|EL|Sonstiges|||||||
Tabasco (Spritzer)||Sonstiges||kalmar|||||
Tandoori-Masalapulver|Msp.|Kräuter & Gewürze|||||||
Tartex Cremisso Paprika|g|Aufstrich|||||||
Tartex Cremisso Paprika-Chili|g|Aufstrich|||||||
Tartex Cremisso Tomate-Basilikum|g|Aufstrich|||||||
Tartex Pastete Champignon|g|Aufstrich|||||||
Tartex Pastete Kräuter |g|Aufstrich|||||||
Thunfischsteaks||Fisch|||||||
Thymian|EL|Kräuter & Gewürze|||||||
Thymian (Zweige)||Kräuter & Gewürze|||||||
Tomaten||Obst & Gemüse|||||||
Tomaten (getrocknet)|g|Obst & Gemüse|||||||
Tomatenketchup|EL|Sonstiges|||||||
Tomatenmark|EL|Sonstiges|||||||
Vanille-Eis|l|Sonstiges|||||||
Vanillezucker (Päckchen)||Sonstiges|||||||
Walnusskerne|g|Sonstiges|||||||
Wasabi|EL|Kräuter & Gewürze|||||||
Wasser|ml|Getränke|||||||
Weißer Pfeffer|EL|Kräuter & Gewürze|||||||
