Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
38|Rotwein-Marinade|Marinaden|rotwein_marinade.html|1|10|||2|Rotwein|marinade||Rotwein|Rotwein|250||4|Passt besonders gut für Rindersteaks bzw. Rinderbraten
|||||||||Thymian|||Petersilienstängel (ohne Blätter)|Petersilienstängel|4|||
|||||||||Knoblauch|||Knoblauchzehen|Knoblauchzehen|2|||
|||||||||Rosmarin|||Rosmarin|Rosmarin|1|||
||||||||||||Thymian|Thymian|0.5|||
||||||||||||Prise Salz|Salz (Prise)|1|||
||||||||||||schwarze Pfefferkörner|Schwarze Pfefferkörner|10|||
