Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
29|Süße „weiße Mäuse“|Süßer Genuss|suesse_weisse_maeuse.html|1|1|1|direkt|1|Dessert|DSC 3780||Mäuse|Zucker-Mäuse|6|8|2|Lasst die fertige Leckerei ein wenig auskühlen, denn sie kommt himmlisch süß aber teuflisch heiß vom Grill. Und die Naschkatzen sollen sich ja weder Zunge noch Pfoten verbrennen!
|||||||||Süßigkeit||||||||
|||||||||Kindergericht||||||||
