Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
12|Gegrillte Auberginen|Vegetarisch|gegrillte_auberginen.html|1|65|10|direkt|1|Aubergine|CRT 8054||Auberginen|Aubergine|1||2|
|||||||||Gemüse|||Olivenöl|Olivenöl|2|||
|||||||||Vegetarisch|||Sesam|Sesam|2|||
|||||||||Beilage|||Sojasosse|Sojasosse|100|||
|||||||||Mediterran|||Honig|Honig|1|||
||||||||||||Kartoffelstärke|Kartoffelstärke|1|||
||||||||||||Salz|Salz||||
