Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
24|Polenta-Taler mit Parmesan|Beilagen|polenta_taler_mit_parmesan.html|1|10|25|direkt|1|Polenta|DSC 4062||Polenta|Polenta|150||2|
|||||||||Vegetarisch|||Salbeiblätter|Salbeiblätter|20|||
|||||||||Käse|||Olivenöl|Olivenöl|2|||
|||||||||Beilage|||Zitronenthymian|Zitronenthymian (Bund)|1|||
||||||||||||schwarze Oliven ohne Kerne|Oliven|20|||
||||||||||||frisch geriebener Parmesankäse|Parmesankäse|2|||
||||||||||||Wasser|Wasser|600|||
||||||||||||Salz|Salz|2|||
