Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
3|Bratapfel - herzhaft|Beilagen|bratapfel_herzhaft.html|2|30|10|direkt|1|Apfel|DSC 4119 3||große, säuerliche Äpfel|Äpfel (säuerlich)|6||6|
|||||||||herzhaft|||Ciabatta-Brot|Ciabatta-Brot|100|||
||||||||||||gekochter Schinken|Gekochter Schinken|100|||
||||||||||||Gorgonzola-Käse|Gorgonzola-Käse|150|||
||||||||||||Crème fraîche|Crème fraîche|150|||
||||||||||||Muskat|Muskat||||
