Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
21|Mangos mit Eis|Süßer Genuss|mangos_mit_eis.html|3|30|8|direkt|1|Mango|DSC 3974||frische Erdbeeren|Erdbeeren|350||4|Wenn Ihr das Rezept variieren wollt oder Erdbeeren gerade keine Saison haben, schmeckt die Mango auch mit Eierlikör und Schokostreuseln richtig lecker!
|||||||||Erdbeeren|||Zucker|Zucker|3|||
|||||||||Obst|||Limettensaft|Limettensaft|1|||
|||||||||Eierlikör|||reife Mangos|Mangos|2|||
|||||||||Dessert|||Butter|Butter|30|||
||||||||||||Vanille-Eis|Vanille-Eis|1|||
